group,psc,psc_desc,psc_category
13,1367,Tactical Sets,Kits
51,5136,Taps,Dies
58,5805,Telephone and Telegraph Equipment,Telephone
58,5815,Teletype and Facsimile Equipment,Teletype
83,8340,Tents and Tarpaulins,Tents
83,8305,Textile Fabrics,Textile
36,3625,Textile Industries Machinery,Textile
56,5620,Tile,Brick and Block
66,6645,Time Measuring Instruments,Time
26,2640,Tire Rebuilding and Tire and Tube Repair Materials,Tire
26,2620,Tires and Tubes,Pneumatic
26,2610,Tires and Tubes,Pneumatic
26,2630,Tires,Solid and Cushion
36,3640,Tobacco Manufacturing Machinery,Tobacco
89,8975,Tobacco Products,Tobacco
85,8520,Toilet Soap,Shaving Preparations
85,8540,Toiletry Paper Products,Toiletry
51,5140,Tool and Hardware Boxes,Tool
32,3230,Tools and Attachments for Woodworking Machinery,Tools
76,7643,Topographic Maps,Charts and Geodetic Products
49,4921,Torpedo Maintenance,Repair
13,1356,Torpedos and Components,Explosive
13,1355,Torpedos and Components,Inert
30,3010,Torque Converters and Speed Changers,Torque
22,2250,Track Material,Railroad
24,2410,Tractor,Full Tracked
24,2430,Tractors,Full Tracked
24,2420,Tractors,Wheeled
63,6310,Traffic and Transit Signal Systems Excludes,Traffic
23,2330,Trailers,Trailers
69,6910,Training Aids,Training
61,6120,Transformers,Transformers
19,1910,Transport Vessels,Passenger and Troop
38,3830,Truck and Tractor Attachments,Truck
23,2320,Trucks and Truck Tractors,Wheeled
29,2950,Turbosupercharger and Components,Turbosupercharger
74,7430,Typewriters and Office Type Composing Machines,Typewriters
13,1350,Underwater Mine and Components,Inert
13,1353,Underwater Mine Disposal Explosive Devices,Underwater
13,1352,Underwater Mine Disposal Inert Devices,Underwater
13,1351,Underwater Mines and Components,Explosive
58,5845,Underwater Sound Equipment,Underwater
13,1386,Underwater Use Explosive Ordnance Disposal and Swimmer Weapons Systems Tools and Equipment,Underwater
84,8420,Underwear and Nightwear,Men's
84,8425,Underwear and Nightwear,Women's Includes
15,1550,Unmanned Aircraft,Unmanned
48,4820,Valves,Nonpowered
48,4810,Valves,Powered
25,2530,Vehicular Brake,Steering
25,2510,Vehicular Cab,Body
25,2540,Vehicular Furniture and Accessories,Vehicular
25,2520,Vehicular Power Transmission Components,Vehicular
35,3550,Vending and Coin Operated Machines,Vending
58,5836,Video Recording and Reproducing Equipment,Video
